"","Symbol","ID","Gene Type","CM tissueType","CM cancerType","CM cellType","CM cellName","unique","p-val","unique-fcs","total-fcs","stat"
"ENSG00000200814.1","RNU6-595P",NA,"snRNA","","","","","No",1.2e-06,0.68,2.06,"-22.94"
"ENSG00000279089.1","AC005839.1",NA,"TEC","","","","","No",2.49e-07,0.8,2.41,"-22.95"
"ENSG00000207573.1","MIR550A2","693134","miRNA","","","","","No",0.00026,1.65,0.27,"-22.97"
"ENSG00000283461.1","MIR550B2","100500830","miRNA","","","","","No",0.00026,1.65,0.27,"-22.97"
"ENSG00000278275.1","AC103705.1",NA,"processed_pseudogene","","","","","No",0.000327,0.89,2.28,"-22.97"
"ENSG00000171489.10","SPACA5","389852","protein_coding","","","","","No",6.68e-12,2.18,2.69,"-22.98"
"ENSG00000215156.5","AC138409.1",NA,"processed_pseudogene","","","","","No",4.91e-14,1.1,3.45,"-22.98"
"ENSG00000226604.2","PAPPA-AS2",NA,"antisense","","","","","No",3.59e-06,1.93,1.36,"-22.99"
"ENSG00000272072.1","AC004492.1",NA,"antisense","","","","","No",4.76e-10,1.03,2.69,"-22.99"
"ENSG00000222806.1","RNA5SP225",NA,"rRNA_pseudogene","","","","","No",9.51e-06,2.62,0.92,"-23.02"
"ENSG00000278879.1","AP000560.1",NA,"TEC","","","","","No",3.04e-08,0.58,2.08,"-23.04"
"ENSG00000230335.1","DNAJB5P1",NA,"processed_pseudogene","","","","","No",0.00228,1.67,-1.14,"-23.04"
"ENSG00000197670.6","AL157838.1",NA,"antisense","","","","","No",8.63e-07,0.47,2.29,"-23.05"
"ENSG00000249746.1","AC099509.1",NA,"lincRNA","","","","","No",0.00614,0.54,0.61,"-23.06"
"ENSG00000227733.9","AC239809.3",NA,"lincRNA","","","","","No",0.00105,0.39,1.79,"-23.07"
"ENSG00000260364.1","AC009055.1",NA,"lincRNA","","","","","No",0.00116,0.13,1.09,"-23.08"
"ENSG00000135968.20","GCC2","9648","protein_coding","","","","","No",0.0092,0.18,1.42,"-23.08"
"ENSG00000228309.6","LINC01350","101929093","lincRNA","","","","","No",0.006,0.39,0.07,"-23.15"
"ENSG00000259135.1","AL445363.2",NA,"antisense","","","","","No",0.000945,0.53,1.83,"-23.15"
"ENSG00000221333.1","MIR548K","100313770","miRNA","","","","","No",0.000291,0.87,-2.47,"-23.17"
"ENSG00000238246.1","AC069549.1",NA,"antisense","","","","","No",3.31e-15,1.29,2.58,"-23.17"
"ENSG00000273387.1","AC005005.3",NA,"antisense","","","","","No",0.00329,0.33,1.38,"-23.18"
"ENSG00000265201.1","MIR4677","100616343","miRNA","","","","","No",4.02e-11,2.41,-0.42,"-23.19"
"ENSG00000231703.2","AL354993.1",NA,"antisense","","","","","Yes",1.66e-14,2.31,3.09,"-23.2"
"ENSG00000155657.25","TTN","7273","protein_coding","","","","","No",1.3e-07,0.92,1.58,"-23.21"
"ENSG00000258337.1","AC130895.1",NA,"sense_intronic","","","","","No",1.72e-11,1.47,3.38,"-23.21"
"ENSG00000221970.1","OR2A1","346528","protein_coding","","","","","No",2.75e-07,1.41,2.18,"-23.23"
"ENSG00000231119.2","LOC101927377","101927377","antisense","","","","","No",4.44e-06,1.16,2.85,"-23.23"
"ENSG00000232374.5","GPR79",NA,"processed_pseudogene","","","","","No",9.81e-10,1.61,2.92,"-23.24"
"ENSG00000212807.1","OR2A42","402317","protein_coding","","","","","No",2.35e-09,1.33,2.26,"-23.24"
"ENSG00000182974.3","AC135068.1",NA,"protein_coding","","","","","No",0.009,2.18,-3.29,"-23.25"
"ENSG00000163681.14","SLMAP","7871","protein_coding","","","","","No",7.79e-06,0.03,1.23,"-23.26"
"ENSG00000015568.12","RGPD5","84220","protein_coding","","","","","No",0.00216,0.16,1.59,"-23.27"
"ENSG00000251447.1","AC107027.2",NA,"unprocessed_pseudogene","","","","","No",2.02e-05,2.36,4.56,"-23.3"
"ENSG00000212242.1","RNA5SP219",NA,"rRNA_pseudogene","","","","","No",0.00633,0.71,1.21,"-23.31"
"ENSG00000224563.1","LPP-AS1","100873917","antisense","","","","","No",1.2e-24,2.84,3.37,"-23.31"
"ENSG00000267693.1","AC011477.5",NA,"processed_pseudogene","","","","","No",4.33e-06,1.68,3.32,"-23.33"
"ENSG00000268573.1","AC011815.1",NA,"lincRNA","","","","","No",5.3e-08,0.29,1.78,"-23.33"
"ENSG00000241549.8","GUSBP2","387036","transcribed_unprocessed_pseudogene","","","","","No",2.88e-11,0.44,2.27,"-23.35"
"ENSG00000182185.18","RAD51B","5890","protein_coding","","","","","No",0.000448,0.39,1.57,"-23.35"
"ENSG00000263120.1","AC004584.3",NA,"sense_intronic","","","","","No",0.00139,0.81,0.74,"-23.36"
"ENSG00000259756.1","AC100839.1",NA,"antisense","","","","","No",6.95e-07,2.05,1.57,"-23.37"
"ENSG00000249127.1","MTND3P3",NA,"unprocessed_pseudogene","","","","","No",7.14e-05,2.04,3.76,"-23.37"
"ENSG00000261544.1","AC011939.2",NA,"sense_intronic","","","","","No",4.23e-12,1.33,3.81,"-23.37"
"ENSG00000259712.1","AC023906.5",NA,"antisense","","","","","No",8.94e-05,0.57,2.17,"-23.38"
"ENSG00000259196.1","HMBOX1-IT1",NA,"sense_intronic","","","","","No",8.83e-07,1.47,3.09,"-23.39"
"ENSG00000260735.1","LOC100505915","100505915","transcribed_processed_pseudogene","","","","","No",9.55e-06,0.52,1.89,"-23.4"
"ENSG00000242097.1","AC068647.1",NA,"processed_pseudogene","","","","","No",0.00509,1.01,1.89,"-23.41"
"ENSG00000222760.1","RNU4-53P",NA,"snRNA","","","","","No",0.00149,1.62,0.38,"-23.45"
"ENSG00000279681.1","AC092135.2",NA,"TEC","","","","","No",2.73e-08,1.21,2.47,"-23.46"
"ENSG00000228137.1","AP001469.2",NA,"antisense","","","","","No",2.29e-06,0.98,2.25,"-23.47"
"ENSG00000228554.1","AC004837.2",NA,"antisense","","","","","No",0.00499,0.69,2.29,"-23.48"
"ENSG00000228723.6","SRGAP3-AS2","101927416","antisense","","","","","No",4.78e-06,0.11,1.73,"-23.48"
"ENSG00000240808.1","AC126389.1",NA,"processed_pseudogene","","","","","No",6.43e-09,1.34,3.25,"-23.48"
"ENSG00000232117.1","LINC00384",NA,"lincRNA","","","","","No",3.14e-07,1.08,1.9,"-23.49"
