"baseMean","log2FoldChange","lfcSE","pvalue","padj","overFC"
"ENSG00000130203.9",7622692.38711059,0.0654483168658195,0.149971997378255,0.649710951654995,0.734750288482157,0
"ENSG00000244437.1",6341.48145998369,0.0860245039304479,0.361009305270553,0.791208647838757,0.847581372023784,0
"ENSG00000270550.1",7959.74565831264,0.21256105080652,0.367721083644619,0.441447261434047,0.546104357619009,0
"ENSG00000242371.1",7141.43527891935,0.0487555063407195,0.3567251536754,0.142393487141214,0.221074313277581,0
"ENSG00000211674.2",2227.63109378536,0.156983753564609,0.347326071769835,0.555181013116298,0.6517882278525,0
"ENSG00000119888.10",5429.66584866185,1.94471305661592,0.201464161026714,2.04013015978022e-08,1.92885033288312e-07,1
"ENSG00000185275.6",6054.17671443076,-0.893667832293562,0.28314589629195,0.0383265742777987,0.074411457658537,1
"ENSG00000188257.10",152953.333323961,0.0517932808410292,0.389300593961686,0.0380567297913254,0.0740208806283402,0
"ENSG00000211678.2",3084.53109518617,1.2121194999395,0.433430932242511,0.00115081498502975,0.00367661276644273,1
"ENSG00000170421.12",9481.35485509784,4.18962666694065,0.23634078568435,3.71778433943072e-23,1.15409844528573e-21,1
"ENSG00000228399.1",1270.20399201905,0.293977504148707,0.251368735396658,0.183896859570021,0.272125390254818,1
"ENSG00000165215.6",997.556236618452,5.70502030564207,0.3261698995185,1.97167986636311e-13,3.30340543608632e-12,1
"ENSG00000139329.4",187210.514136594,0.6769660769856,0.286188340205773,0.938131120835362,0.957434230317572,1
"ENSG00000204287.13",2705511.72517338,-0.641974751285117,0.214753482054832,0.000934379678203462,0.00306275680140824,1
"ENSG00000131095.11",61309971.2701832,-0.519379209350289,0.180315792927913,0.001933487756709,0.00575405593170953,1
"ENSG00000111057.10",11539.1993380077,3.31467461711309,0.250987142981776,3.54161620619972e-10,4.3133942008373e-09,1
"ENSG00000253364.1",20450.3313963397,0.47893959626033,0.390588089122975,0.113870722558157,0.183520278989679,1
"ENSG00000211660.3",7458.76135421336,-0.135801362533464,0.367981425835475,0.0809978314757649,0.138484965680107,0
"ENSG00000254285.3",1128.5991233296,4.92523453270908,0.31801622277262,2.21397126142003e-23,6.9686057779257e-22,1
"ENSG00000277209.1",33265.0639267613,0.106538981370115,0.240668280498151,0.060726712411801,0.109271284142045,0
"ENSG00000273259.2",3886368.92831,-1.23739433721046,0.278385347131577,7.15980836826155e-07,5.13286388992778e-06,1
"ENSG00000162896.5",4389.86812536976,3.68660815523271,0.259693955066051,4.32474058628615e-46,4.08371320298351e-44,1
"ENSG00000101210.10",452995.651071089,0.270380724716454,0.192429519419871,0.13303744029011,0.209021787278419,1
"ENSG00000197249.13",267312.639120221,-0.280589264836692,0.268211050356287,0.215786199162297,0.310538384306512,1
"ENSG00000115461.4",4261459.89492331,-0.150495858776719,0.185847247115859,0.38271911337885,0.488835132701395,0
"ENSG00000004776.11",227376.611836649,-0.520858409172646,0.202908240483015,0.00474029125140418,0.0125517884502745,1
"ENSG00000249007.1",2631.87229126227,1.9182850748067,0.255195715670541,1.23297931073348e-14,2.29208213217737e-13,1
"ENSG00000135480.14",6583.60021508425,4.18726541783933,0.29308053847647,0.000864143070343719,0.00286162594446325,1
"ENSG00000228499.1",993.771320313244,-0.157315017342449,0.325988441769998,0.534821383995055,0.633521362271698,0
"ENSG00000211445.11",569061.734761536,-0.712308607477922,0.278795999289157,0.00270993185061007,0.00770636870017238,1
"ENSG00000145824.12",347380.923220488,0.0302564511741163,0.235474063773692,0.886605658154762,0.919967030749095,0
"ENSG00000173432.10",114044.171332105,0.191533147367334,0.404741217701924,0.024276864678812,0.0507202631060385,0
"ENSG00000115884.10",90568.6114239241,1.17890257988669,0.2270301768974,0.976352178957838,0.983187653107718,1
"ENSG00000115414.18",6353718.32497706,0.067544585998452,0.282168893753691,0.77867576505172,0.838333873947487,0
"ENSG00000124102.4",37326.2313018736,0.11856272036996,0.353160447836346,0.0803896250234593,0.13757739118294,0
"ENSG00000219928.2",45594.7855699607,-4.45956984714003,0.416648162254497,4.92353048774082e-29,2.11646163899685e-27,1
"ENSG00000175899.14",4459013.6704197,-0.163030546903691,0.143939224660581,0.23633792483317,0.334085454909801,0
"ENSG00000240801.1",49021.3199876806,0.283143628507674,0.236277107479751,0.000732918775238335,0.00247538325644698,1
"ENSG00000160180.15",2734.44272374511,2.47003114059497,0.399482855861814,1.50364688591492e-10,1.90749313779246e-09,1
"ENSG00000189143.9",7162.94121766868,3.34881895413767,0.164700916502968,1.87197429245969e-29,8.26745906697266e-28,1
"ENSG00000107317.11",1456500.71753612,0.229963699934013,0.206625529018508,0.228905168310423,0.325597619969093,0
"ENSG00000132698.14",2911.51904200912,5.03302759345063,0.286255326405467,7.51916681410583e-69,1.95048915702e-66,1
"ENSG00000039068.18",32605.6692024602,1.25350687569313,0.203378832580698,0.00101364880388487,0.00329293597323648,1
"ENSG00000052344.15",1777.75987706966,5.33937784447225,0.255082869851403,4.88655802875169e-50,5.54170058255619e-48,1
"ENSG00000274866.1",8252.68122407172,-0.67622456610956,0.462300762094849,0.000164369290327047,0.000667173766924605,1
"ENSG00000275266.1",6210.69574468557,-0.313329025311149,0.382965322992161,0.000829689375680985,0.00276212270694328,1
